time_lag,noise,N,seq_length,context_noise,run,implicit_theta,pcc_theta,mse_theta,mae_theta,pcc_prob,mse_prob,mae_prob,auroc,auprc,brier,f1
4,0.0,200,15,0.0,0,False,0.37887090538764273,1.2737417066342713,0.9439402128500239,0.5617875174005669,0.0509443491931915,0.16819839924047544,0.603609480321809,0.5912935634603439,0.24582304383443723,0.5643340857787811
4,0.0,200,15,0.0,0,True,0.09980856773589117,1.8188492902637439,1.103677828645313,0.5084396334118534,0.05747467116169428,0.18518623688992591,0.6008771063392663,0.6168649884096509,0.24800466528636625,0.5842217484008528
4,0.0,200,15,0.0,1,False,0.4741818457998105,1.3139624118221287,0.9273661779974487,0.6534167521516941,0.049036204189452585,0.15479560379307375,0.6445349572919962,0.6146736568790443,0.24160172707252198,0.5550239234449761
4,0.0,200,15,0.0,1,True,0.3481286234339867,1.39627690851453,1.0006909230273362,0.5328199343141994,0.05162030520547389,0.18090503540039474,0.6476068069504225,0.5939826452553439,0.23266277354525988,0.5856832971800433
4,0.0,200,15,0.0,2,False,0.3984484458384025,1.2705635375116033,0.9240045259061267,0.6227617406008326,0.04385620231702289,0.15702777895034606,0.578671777747041,0.6028879318707714,0.23782979742557045,0.5783132530120482
4,0.0,200,15,0.0,2,True,0.205539879076536,1.7477103671233511,1.0732452971420974,0.5316276008591656,0.05783280019324346,0.1860651030222727,0.6187896825396826,0.5920339600533798,0.2479204163510361,0.5682326621923938
4,0.01,200,15,0.0,0,False,0.2313142613382629,1.3864544823615532,0.9946448481800472,0.5660257020869678,0.047748435328102065,0.1712920884631385,0.6570847162952426,0.6427547101630168,0.23453082856322022,0.6434782608695653
4,0.01,200,15,0.0,0,True,-0.06800185941159086,2.266133104296538,1.2477878687168469,0.3701264716376662,0.066635470146227,0.21123997196025443,0.5600396825396825,0.5140679832104187,0.2554820015961748,0.5275229357798166
4,0.01,200,15,0.0,1,False,0.4250456191991769,1.1580641502573032,0.9039639341540058,0.6087346596288287,0.04430943349529319,0.1467860761082279,0.6006801645049035,0.5769130111870217,0.24415556507858527,0.5491071428571428
4,0.01,200,15,0.0,1,True,0.04960484259734605,1.7309675372935647,1.1228655922977822,0.22578903681909862,0.07708057966559707,0.22563499491440175,0.5550265700005926,0.5567224307313924,0.25011201265769506,0.48931116389548696
4,0.01,200,15,0.0,2,False,0.5098070892134585,1.1816328046675773,0.8802023255717795,0.565244761607847,0.05021155633188628,0.16404570591299833,0.6356092040739343,0.6130397706893708,0.23418213380941025,0.586046511627907
4,0.01,200,15,0.0,2,True,0.20788820913080394,1.4417847147646181,1.017392118713365,0.5329659463037767,0.05525873377534806,0.19060649224382326,0.5973517786561264,0.578262998906085,0.245891453365184,0.46486486486486484
4,0.1,200,15,0.0,0,False,0.28015904330271935,1.3647941000238875,0.9822279777496865,0.5013522522054762,0.054385316137554075,0.17136428015155297,0.618351458964759,0.5866626821902395,0.2409226950987393,0.6031042128603104
4,0.1,200,15,0.0,0,True,0.22361132749687712,1.5019588772299812,1.043065019517974,0.5787659900150376,0.05202094034203878,0.18404175113707805,0.6648490595859018,0.6485561387665926,0.2299302598951941,0.5386666666666667
4,0.1,200,15,0.0,1,False,0.2818761104996686,1.4827940071666286,1.0490448277893498,0.5384646835667362,0.0513967711166323,0.1812773261805451,0.6243652314805668,0.6356607202385485,0.24114004337156697,0.625
4,0.1,200,15,0.0,1,True,0.22848575691391315,1.646880850989161,1.06196947961026,0.4509693491321669,0.05929336496282427,0.18629172398561622,0.5509972981563891,0.5957711666793958,0.25785749749035863,0.5359477124183005
4,0.1,200,15,0.0,2,False,0.49564321807489903,1.6079761174939593,0.9640626598840815,0.7102231531628345,0.049160592422896346,0.15032697012514057,0.671800854160076,0.6611198126786588,0.24043778161076348,0.6444906444906444
4,0.1,200,15,0.0,2,True,-0.019123078957209532,1.6659030169401638,1.0843101639124222,0.5310319675024079,0.0493081568055365,0.1829978345680798,0.6555139557457261,0.6588885600128853,0.2295091064458402,0.6864564007421151
4,1.0,200,15,0.0,0,False,0.5540087580751445,1.0925854044474759,0.8275658326174044,0.49999960438888585,0.0721772448326731,0.20959110708703077,0.6189723632484542,0.6478329390291946,0.250053718916097,0.5831533477321814
4,1.0,200,15,0.0,0,True,0.24554683266174682,1.3752903244081003,1.0125535815171929,0.2540769587856743,0.0785931157261757,0.23302899539502958,0.5654545454545455,0.5656776727993054,0.2479973957268273,0.5553145336225597
4,1.0,200,15,0.0,1,False,0.5048265849692968,1.2010962594112125,0.9406512298546953,0.4698335632907317,0.06805822057685501,0.22346919401430898,0.6335911077708114,0.6309291576868334,0.23687780444573764,0.5505882352941176
4,1.0,200,15,0.0,1,True,-0.028274156583946254,1.9978055249855098,1.1782671959334303,0.1894377382710038,0.09427117828069102,0.2597718001267924,0.5664767331433999,0.5093997336076358,0.24968415027714375,0.6292134831460674
4,1.0,200,15,0.0,2,False,0.4710654197268468,1.216200148771877,0.9273924789495843,0.49817174514408463,0.061884794961282165,0.20776299189418498,0.6360229233179322,0.6606775164067491,0.23574434770435135,0.6177105831533477
4,1.0,200,15,0.0,2,True,0.1204567750228863,2.7034797546598,1.323041964673821,0.3739597061411901,0.0882511011352541,0.2474726729399364,0.5961354199936122,0.6242524478984308,0.25194262315599597,0.5302325581395348
