time_lag,noise,N,seq_length,context_noise,run,implicit_theta,pcc_theta,mse_theta,mae_theta,pcc_prob,mse_prob,mae_prob,auroc,auprc,brier,f1
1,0.0,200,15,0.0,0,False,0.8844393602727768,0.5258924594988682,0.5852806500493248,0.890379644052744,0.020413066794152408,0.09683133987792952,0.7431698307026728,0.7510077008069634,0.2108370890399713,0.6578366445916116
1,0.0,200,15,0.0,0,True,0.3737504627159659,2.4647656803263285,1.3064760298375913,0.8584178205862535,0.023069480365029302,0.11600198071550387,0.7444473012796423,0.7443043273447982,0.20701535727325146,0.6926229508196721
1,0.0,200,15,0.0,1,False,0.7873738663429444,1.0484044806269894,0.716160989004654,0.8735880978990345,0.02176002694020612,0.1016880356024423,0.7815265486725663,0.7738703048940083,0.19045464617923571,0.6984815618221258
1,0.0,200,15,0.0,1,True,0.5335867836641772,2.4157533489923235,1.111746533078617,0.8816557089961461,0.018519030190540506,0.10373076135459648,0.752657100445324,0.7365628770407129,0.20445173716016415,0.6666666666666667
1,0.0,200,15,0.0,2,False,0.9237316020298224,0.2574594462445021,0.4060098585851955,0.9350434600780501,0.008816287270932,0.06933127985982505,0.7810129582806573,0.7872799110351842,0.18767013287492312,0.6869565217391305
1,0.0,200,15,0.0,2,True,0.4965920729781809,1.6910288257406538,0.9554402524313722,0.872519926962335,0.019434019099941732,0.10427652869042037,0.7555837161412958,0.7792193001396,0.20381620535990155,0.7153846153846154
2,0.0,200,15,0.0,0,False,0.7778791210076892,0.7779449438254505,0.7298060245826953,0.8064213493359459,0.02794587437802022,0.1195132223101387,0.7568939633375474,0.7547435453862049,0.20323290740301272,0.7161016949152541
2,0.0,200,15,0.0,0,True,-0.07848552942662271,3.152939329321082,1.3984621565883635,0.863892905328456,0.0211247994013598,0.11230315598174463,0.7078020913637352,0.7093570417072879,0.22226714579322004,0.6194690265486726
2,0.0,200,15,0.0,1,False,0.8060133873572363,0.7575287010824427,0.6662248818789739,0.8667198435399033,0.022705137026670305,0.10457910665220818,0.7156882111251581,0.725261083938439,0.21952432080101034,0.6157407407407408
2,0.0,200,15,0.0,1,True,0.1765328464359645,3.4214002602647353,1.4273204575888205,0.7299154851407594,0.04316887860355678,0.16397774147898672,0.6933003952569169,0.6991865885932268,0.235617884021479,0.5644768856447688
2,0.0,200,15,0.0,2,False,0.8424273841458138,0.7499903748676291,0.6683824768029997,0.8935729847974995,0.018898444381092613,0.09669176846399512,0.7332740740740742,0.7332929024559971,0.21403031308453924,0.6487695749440715
2,0.0,200,15,0.0,2,True,0.08426862431702456,3.157072006617359,1.4619439080105243,0.8549355788462631,0.024806067465334498,0.11897984294816855,0.7633029698275011,0.7681280972328653,0.20012252964502092,0.6909871244635193
4,0.0,200,15,0.0,0,False,0.43461165980710537,1.2526858925736863,0.9362574375068444,0.6068740518150769,0.04877197969324134,0.1709408537353437,0.6398925347187927,0.6271769343839549,0.23619321113202252,0.573394495412844
4,0.0,200,15,0.0,0,True,0.10348928011848259,2.0472767748650895,1.1825456658318896,0.5707111892216639,0.055450551395931635,0.18085414432529942,0.666467863461959,0.6545536129897418,0.23285463085862868,0.6313645621181263
4,0.0,200,15,0.0,1,False,0.5017371896645326,1.2728172777087812,0.9147576390183456,0.644122041117687,0.04524032493471079,0.15448328091393498,0.6518836056182218,0.6281108413985381,0.23172914773676076,0.593103448275862
4,0.0,200,15,0.0,1,True,0.19507197157254824,1.42602164332554,0.9888935029936146,0.5079996433209695,0.050716671877917605,0.1759446236370887,0.6354512407143986,0.6164689961436355,0.23027180401812009,0.6085106382978723
4,0.0,200,15,0.0,2,False,0.5071778623422468,1.161688688114912,0.9040616001599464,0.6189568390366321,0.041413708199594106,0.15997820148528785,0.6286758893280632,0.6359135047854253,0.23577438114350713,0.5835189309576838
4,0.0,200,15,0.0,2,True,0.11095567616009075,1.533156568133007,1.062370745496939,0.3888503279125138,0.053417650338507844,0.18769140064656112,0.5833201581027667,0.5717052821653806,0.24484061524185405,0.5297029702970298
