time_lag,noise,N,seq_length,context_noise,run,implicit_theta,pcc_theta,mse_theta,mae_theta,pcc_prob,mse_prob,mae_prob,auroc,auprc,brier,f1
4,0.0,200,5,0.0,0,False,0.37448043595485914,1.3185264337466223,1.0166338651214157,0.7546326258986173,0.035658323647248615,0.1467099403788007,0.6173433048433048,0.6092587700650004,0.23591963281023684,0.5988023952095809
4,0.0,200,5,0.0,0,True,0.33457900846367905,1.2530766611514708,0.9834850820485218,0.1412233277288333,0.07612850857975895,0.2361818977086503,0.4653976160825476,0.48183948718533465,0.28461272092402284,0.4935064935064935
4,0.0,200,5,0.0,1,False,0.23760246153102962,1.3102311440358037,0.9203693578327219,0.6523797563691028,0.03397206401296162,0.13486440266807262,0.4840435015154217,0.45644179120912587,0.26011509932183674,0.5093167701863354
4,0.0,200,5,0.0,1,True,0.055000728560401335,1.3211160327448974,0.8989371304961142,0.16260503621949682,0.06564029086257588,0.21328849561400115,0.4449786324786325,0.45431162194009217,0.2730066351129156,0.43243243243243246
4,0.0,200,5,0.0,2,False,0.27684411931156533,1.2978510365325144,0.898294229140267,0.6876585209406991,0.0426838927036491,0.15087302090712065,0.6180995475113122,0.5637637275960905,0.23362761406434007,0.49230769230769234
4,0.0,200,5,0.0,2,True,-0.24740689815708963,2.1011177793925797,1.1922988580275589,0.13299511758238342,0.06815112595263609,0.2041745954101471,0.6078043517352995,0.5795517147357292,0.2449316068697142,0.5190839694656488
4,0.0,200,5,0.0,3,False,0.21563510549759632,1.757490145380992,1.1174882972090512,0.42471525476363503,0.06619131410643704,0.19830773644626998,0.5579078455790785,0.5924616136464456,0.24617312944944056,0.5696202531645569
4,0.0,200,5,0.0,3,True,0.05120415489590396,2.628210098687391,1.3475376270637993,0.3501681009921837,0.08097669566258921,0.2449852012479919,0.5835264753075414,0.6056253682608248,0.24030426082335168,0.627906976744186
4,0.0,200,5,0.0,4,False,0.1971094432684316,1.4749417793485406,1.0278045295745522,0.36145578579478704,0.05712424102016389,0.1919046510197233,0.49955269278940784,0.45838343947567894,0.25338261701718445,0.49645390070921985
4,0.0,200,5,0.0,4,True,-0.04672519466440136,1.754961350436705,1.1506371939114923,0.25975748684817035,0.07510927271158235,0.24426761438775282,0.47700840937555905,0.533237139443089,0.2629926545140469,0.6507177033492823
4,0.0,200,10,0.0,0,False,0.1972373540924717,1.388101292613512,0.9844771197824915,0.42726392441537414,0.06299135165335616,0.18975137950373563,0.543958249698916,0.5531127290798865,0.2691872742870896,0.5017182130584192
4,0.0,200,10,0.0,0,True,0.24851823088943348,1.3413118055304685,0.9596117320547591,0.4573885854779983,0.05238674324038496,0.18607321748483097,0.575920894392232,0.5918354927909348,0.25218604862780164,0.44621513944223107
4,0.0,200,10,0.0,1,False,0.3163589275004078,1.3850379847783019,0.9974517003856349,0.5013184066222501,0.05697872025162126,0.18586031668430408,0.630662331299274,0.5898150547128393,0.24132637680219554,0.6123778501628665
4,0.0,200,10,0.0,1,True,0.23562351328811107,2.043747039228611,1.1158500605774213,0.49252704930360625,0.0618367406417084,0.19612041092761123,0.5761468705547652,0.5877124800975373,0.2571349859195012,0.5436241610738256
4,0.0,200,10,0.0,2,False,0.40978153000958223,1.4361806652612754,0.9374447616158106,0.5294833984380243,0.053856352263931415,0.17133343591185984,0.5713139597076128,0.6009488120427854,0.2638162919347868,0.5016949152542373
