time_lag,noise,N,seq_length,context_noise,run,implicit_theta,pcc_theta,mse_theta,mae_theta,pcc_prob,mse_prob,mae_prob,auroc,auprc,brier,f1
4,0.0,20,15,0.0,0,False,0.23970772124647785,1.6888752475386892,1.14743377760951,0.3906894497937392,0.0748884106887432,0.2295887192555624,0.5129310344827587,0.4419878079359781,0.26359194998357377,0.37837837837837834
4,0.0,20,15,0.0,0,True,-0.17941121044479985,2.2417697327379855,1.2540118327800167,0.13431482950655269,0.11405862224682765,0.2515907367857143,0.5889328063241107,0.5181630901250399,0.27510143509680096,0.5128205128205129
4,0.0,20,15,0.0,1,False,0.13823208165263648,2.2221547479586667,1.3411994353858419,0.32863654184007746,0.09611764257143485,0.27259592884628875,0.654,0.6375448533281599,0.24235035851847872,0.5853658536585366
4,0.0,20,15,0.0,1,True,0.34009927857508915,1.153691519996778,0.8617502158667725,0.06710334787532998,0.13163293739091575,0.3051315956806522,0.5708502024291497,0.5980704379097771,0.2580147594667375,0.7647058823529412
4,0.0,20,15,0.0,2,False,0.035281974746400276,1.7867155027700707,1.2053172997922876,0.1393676202166204,0.1001104314669673,0.24060654784636837,0.4473684210526315,0.48887605648765425,0.3067438098181312,0.43902439024390244
4,0.0,20,15,0.0,2,True,0.3126370076071962,2.1657761658983348,1.2638438597938195,-0.05635817291156218,0.17777966726549574,0.3575502329381262,0.41865079365079366,0.47644592306390177,0.3985451546725278,0.4444444444444445
4,0.0,200,15,0.0,0,False,0.307702846872776,1.445358481486642,1.0187938368193776,0.44677014080814254,0.060565287673263614,0.19547007045542875,0.5843622212125403,0.5994571486354522,0.24820402573440997,0.5662921348314606
4,0.0,200,15,0.0,0,True,0.015171452330813478,1.8184801940287378,1.1342733352829328,0.5613285891384378,0.05077874717986137,0.18305428906469082,0.6739862189133533,0.6664630527370574,0.23171923146853923,0.5392670157068062
4,0.0,200,15,0.0,1,False,0.31502313031349743,1.3832459899691343,0.9617851076850209,0.3857446831372505,0.07003130924592804,0.20295011778659222,0.5796167006190541,0.5750588440678158,0.25393269813660385,0.5207373271889401
4,0.0,200,15,0.0,1,True,0.1793389098921305,1.5249358535860567,1.0097496529831531,0.6043009251604814,0.05158059361131662,0.17080530829629006,0.6470290946567305,0.6192574658554839,0.23877972268849385,0.5271739130434783
4,0.0,200,15,0.0,2,False,0.42001245402142834,1.1456425268369896,0.8711217280141998,0.5514252803934077,0.052041329368251676,0.18025835835433543,0.6215431415929203,0.6109088513110591,0.23987335583973649,0.5695364238410596
4,0.0,200,15,0.0,2,True,0.057588837401435874,1.7295685428098488,1.0927298450918128,0.5056694210823344,0.06234156987392036,0.19608531025062947,0.6325655815423515,0.6250398592350933,0.241685772347303,0.576419213973799
4,0.0,2000,15,0.0,0,False,0.8421754580315127,0.6776768348657193,0.6698278572155576,0.7151337836681042,0.03528851781580152,0.1470365112931171,0.6775155891714837,0.6667130909193775,0.22412787351971056,0.6179699753529017
4,0.0,2000,15,0.0,0,True,0.1050739506010667,2.8913194289007933,1.322615173261523,0.9025496956480956,0.015174113900074986,0.09377386881637036,0.7221211290374832,0.7244920813151342,0.2108086614428162,0.6864556713190485
4,0.0,2000,15,0.0,1,False,0.8706399428844827,0.6707195137271886,0.6596209344620757,0.7211542569818526,0.034494512208871016,0.14840145085059284,0.6919023474445496,0.6911916728487875,0.2207427599348801,0.6285460992907801
4,0.0,2000,15,0.0,1,True,0.0605335089292819,2.8897974651933542,1.2858953926863947,0.8647665107966769,0.018091218030029325,0.09428467521267087,0.6963423749732338,0.7305251249105927,0.20800209684864865,0.4610611231771641
4,0.0,2000,15,0.0,2,False,0.8789818139412691,0.550154730284029,0.5979572447692297,0.736856640432239,0.03337806963980173,0.1419178500842166,0.6728110503493434,0.6758830605811066,0.2268496879417007,0.6108637577916296
4,0.0,2000,15,0.0,2,True,0.07633234383839714,2.501762600427175,1.2780989382620924,0.9172649356168103,0.012406166250585547,0.08326046049409531,0.7249893770202676,0.7355933785452866,0.21020403421857015,0.5717294024743353
